Date,Cases
2/25/20,0
2/26/20,0
2/27/20,1
2/28/20,0
2/29/20,8
3/1/20,6
3/2/20,23
3/3/20,25
3/4/20,20
3/5/20,66
3/6/20,47
3/7/20,64
3/8/20,147
3/9/20,225
3/10/20,290
3/11/20,278
3/12/20,414
3/13/20,267
3/14/20,338
3/15/20,1237
3/16/20,755
3/17/20,2797
3/18/20,3419
3/19/20,4777
3/20/20,3528
3/21/20,5836
3/22/20,8821
3/23/20,10934
3/24/20,10115
3/25/20,13987
3/26/20,16916
3/27/20,17965
3/28/20,19332
3/29/20,18251
3/30/20,22635
3/31/20,22562
4/1/20,27043
4/2/20,26135
4/3/20,18819
4/4/20,9338
4/5/20,63455
4/6/20,43438
4/7/20,34347
4/8/20,31534
4/9/20,31705
4/10/20,33251
4/11/20,33288
4/12/20,29145
4/13/20,24157
4/14/20,26385
4/15/20,27259
4/16/20,29164
4/17/20,29002
4/18/20,29916
4/19/20,26008
4/20/20,29468
4/21/20,26527
4/22/20,25868
4/23/20,37144
4/24/20,30226
4/25/20,33119
4/26/20,29355
4/27/20,23459
4/28/20,23901
4/29/20,26512
4/30/20,30787
5/1/20,30326
5/2/20,29671
5/3/20,29763
5/4/20,19138
5/5/20,22303
5/6/20,25253
5/7/20,28974
5/8/20,25996
5/9/20,26660
5/10/20,23792
5/11/20,18106
